DATE,DailyMaximumDryBulbTemperature,VIOLENT_CRIME_COUNT,DATE_DT,MONTH,DAY_OF_WEEK,SEASON,TEMP_BIN
2020-01-01,51.08,15,2020-01-01,1,Wednesday,Winter,Moderate
2020-01-02,44.06,9,2020-01-02,1,Thursday,Winter,Moderate
2020-01-03,48.02,16,2020-01-03,1,Friday,Winter,Moderate
2020-01-04,62.059999999999995,14,2020-01-04,1,Saturday,Winter,Warm
2020-01-05,44.96,13,2020-01-05,1,Sunday,Winter,Moderate
2020-01-06,42.08,11,2020-01-06,1,Monday,Winter,Moderate
2020-01-07,59,12,2020-01-07,1,Tuesday,Winter,Warm
2020-01-08,60.08,9,2020-01-08,1,Wednesday,Winter,Warm
2020-01-09,44.96,22,2020-01-09,1,Thursday,Winter,Moderate
2020-01-10,33.08,17,2020-01-10,1,Friday,Winter,Cold
2020-01-11,46.94,10,2020-01-11,1,Saturday,Winter,Moderate
2020-01-12,42.08,13,2020-01-12,1,Sunday,Winter,Moderate
2020-01-13,44.06,14,2020-01-13,1,Monday,Winter,Moderate
2020-01-14,57.02,11,2020-01-14,1,Tuesday,Winter,Moderate
2020-01-15,46.94,7,2020-01-15,1,Wednesday,Winter,Moderate
2020-01-16,42.980000000000004,10,2020-01-16,1,Thursday,Winter,Moderate
2020-01-17,51.98,11,2020-01-17,1,Friday,Winter,Moderate
2020-01-18,44.96,21,2020-01-18,1,Saturday,Winter,Moderate
2020-01-19,46.94,17,2020-01-19,1,Sunday,Winter,Moderate
2020-01-20,55.04,11,2020-01-20,1,Monday,Winter,Moderate
2020-01-21,53.96,17,2020-01-21,1,Tuesday,Winter,Moderate
2020-01-22,51.98,11,2020-01-22,1,Wednesday,Winter,Moderate
2020-01-23,41,12,2020-01-23,1,Thursday,Winter,Moderate
2020-01-24,55.94,15,2020-01-24,1,Friday,Winter,Moderate
2020-01-25,55.04,17,2020-01-25,1,Saturday,Winter,Moderate
2020-01-26,55.04,19,2020-01-26,1,Sunday,Winter,Moderate
2020-01-27,42.08,14,2020-01-27,1,Monday,Winter,Moderate
2020-01-28,46.04,14,2020-01-28,1,Tuesday,Winter,Moderate
2020-01-29,42.08,20,2020-01-29,1,Wednesday,Winter,Moderate
2020-01-30,42.08,11,2020-01-30,1,Thursday,Winter,Moderate
2020-01-31,51.98,13,2020-01-31,1,Friday,Winter,Moderate
2020-02-01,66.02,16,2020-02-01,2,Saturday,Winter,Warm
2020-02-02,71.96,20,2020-02-02,2,Sunday,Winter,Warm
2020-02-03,31.1,17,2020-02-03,2,Monday,Winter,Cold
2020-02-04,18.14,8,2020-02-04,2,Tuesday,Winter,Cold
2020-02-05,27.14,15,2020-02-05,2,Wednesday,Winter,Cold
2020-02-06,37.94,8,2020-02-06,2,Thursday,Winter,Cold
2020-02-07,27.14,8,2020-02-07,2,Friday,Winter,Cold
2020-02-08,55.94,9,2020-02-08,2,Saturday,Winter,Moderate
2020-02-09,28.22,16,2020-02-09,2,Sunday,Winter,Cold
2020-02-10,28.22,10,2020-02-10,2,Monday,Winter,Cold
2020-02-11,33.08,11,2020-02-11,2,Tuesday,Winter,Cold
2020-02-12,33.08,10,2020-02-12,2,Wednesday,Winter,Cold
2020-02-13,28.22,15,2020-02-13,2,Thursday,Winter,Cold
2020-02-14,60.08,6,2020-02-14,2,Friday,Winter,Warm
2020-02-15,44.06,18,2020-02-15,2,Saturday,Winter,Moderate
2020-02-16,53.06,11,2020-02-16,2,Sunday,Winter,Moderate
2020-02-17,35.96,14,2020-02-17,2,Monday,Winter,Cold
2020-02-18,31.1,22,2020-02-18,2,Tuesday,Winter,Cold
2020-02-19,23.18,13,2020-02-19,2,Wednesday,Winter,Cold
2020-02-20,33.98,9,2020-02-20,2,Thursday,Winter,Cold
2020-02-21,51.08,13,2020-02-21,2,Friday,Winter,Moderate
2020-02-22,55.94,11,2020-02-22,2,Saturday,Winter,Moderate
2020-02-23,42.08,12,2020-02-23,2,Sunday,Winter,Moderate
2020-02-24,39.02,11,2020-02-24,2,Monday,Winter,Moderate
2020-02-25,28.22,19,2020-02-25,2,Tuesday,Winter,Cold
2020-02-26,42.980000000000004,20,2020-02-26,2,Wednesday,Winter,Moderate
2020-02-27,46.94,10,2020-02-27,2,Thursday,Winter,Moderate
2020-02-28,53.06,14,2020-02-28,2,Friday,Winter,Moderate
2020-02-29,51.98,12,2020-02-29,2,Saturday,Winter,Moderate
2020-03-01,42.980000000000004,20,2020-03-01,3,Sunday,Spring,Moderate
2020-03-02,53.06,18,2020-03-02,3,Monday,Spring,Moderate
2020-03-03,57.92,15,2020-03-03,3,Tuesday,Spring,Moderate
2020-03-04,64.04,11,2020-03-04,3,Wednesday,Spring,Warm
2020-03-05,55.94,12,2020-03-05,3,Thursday,Spring,Moderate
2020-03-06,66.92,13,2020-03-06,3,Friday,Spring,Warm
2020-03-07,66.02,15,2020-03-07,3,Saturday,Spring,Warm
2020-03-08,66.92,15,2020-03-08,3,Sunday,Spring,Warm
2020-03-09,59,15,2020-03-09,3,Monday,Spring,Warm
2020-03-10,62.959999999999994,15,2020-03-10,3,Tuesday,Spring,Warm
2020-03-11,69.08,18,2020-03-11,3,Wednesday,Spring,Warm
2020-03-12,51.98,11,2020-03-12,3,Thursday,Spring,Moderate
2020-03-13,39.92,6,2020-03-13,3,Friday,Spring,Moderate
2020-03-14,51.08,12,2020-03-14,3,Saturday,Spring,Moderate
2020-03-15,60.08,15,2020-03-15,3,Sunday,Spring,Warm
2020-03-16,66.02,9,2020-03-16,3,Monday,Spring,Warm
2020-03-17,59,16,2020-03-17,3,Tuesday,Spring,Warm
2020-03-18,64.94,12,2020-03-18,3,Wednesday,Spring,Warm
2020-03-19,39.92,10,2020-03-19,3,Thursday,Spring,Moderate
2020-03-20,27.14,6,2020-03-20,3,Friday,Spring,Cold
2020-03-21,48.02,13,2020-03-21,3,Saturday,Spring,Moderate
2020-03-22,51.98,14,2020-03-22,3,Sunday,Spring,Moderate
2020-03-23,55.94,11,2020-03-23,3,Monday,Spring,Moderate
2020-03-24,62.959999999999994,17,2020-03-24,3,Tuesday,Spring,Warm
2020-03-25,66.02,15,2020-03-25,3,Wednesday,Spring,Warm
2020-03-26,53.96,12,2020-03-26,3,Thursday,Spring,Moderate
2020-03-27,42.08,8,2020-03-27,3,Friday,Spring,Moderate
2020-03-28,48.92,10,2020-03-28,3,Saturday,Spring,Moderate
2020-03-29,55.04,9,2020-03-29,3,Sunday,Spring,Moderate
2020-03-30,57.02,14,2020-03-30,3,Monday,Spring,Moderate
2020-03-31,66.92,11,2020-03-31,3,Tuesday,Spring,Warm
2020-04-01,68,9,2020-04-01,4,Wednesday,Spring,Warm
2020-04-02,39.92,12,2020-04-02,4,Thursday,Spring,Moderate
2020-04-03,39.92,11,2020-04-03,4,Friday,Spring,Moderate
2020-04-04,60.08,11,2020-04-04,4,Saturday,Spring,Warm
2020-04-05,71.06,16,2020-04-05,4,Sunday,Spring,Warm
2020-04-06,73.04,23,2020-04-06,4,Monday,Spring,Warm
2020-04-07,73.04,17,2020-04-07,4,Tuesday,Spring,Warm
2020-04-08,69.08,17,2020-04-08,4,Wednesday,Spring,Warm
2020-04-09,57.02,15,2020-04-09,4,Thursday,Spring,Moderate
2020-04-10,71.06,7,2020-04-10,4,Friday,Spring,Warm
2020-04-11,69.08,16,2020-04-11,4,Saturday,Spring,Warm
2020-04-12,35.96,11,2020-04-12,4,Sunday,Spring,Cold
2020-04-13,23.18,7,2020-04-13,4,Monday,Spring,Cold
2020-04-14,44.96,9,2020-04-14,4,Tuesday,Spring,Moderate
2020-04-15,53.06,8,2020-04-15,4,Wednesday,Spring,Moderate
2020-04-16,33.98,9,2020-04-16,4,Thursday,Spring,Cold
2020-04-17,55.94,12,2020-04-17,4,Friday,Spring,Moderate
2020-04-18,59,18,2020-04-18,4,Saturday,Spring,Warm
2020-04-19,62.959999999999994,9,2020-04-19,4,Sunday,Spring,Warm
2020-04-20,64.04,9,2020-04-20,4,Monday,Spring,Warm
